"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","209","Login with empty password field","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","","","",""
"","228","Should return 200 and products when valid product is searched","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","217","Should return 200 and products when valid product is searched","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","257","Should fail with invalid mobile number","webkit","Fri Mar 28 10:03:17 AEST 2025","failed","Fri Mar 28 10:03:17 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","322","Should contain specific product name (e.g. Blue Top)","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/productsList - All Products API","","",""
"","234","Should contain specific product name (e.g. Blue Top)","webkit","Fri Mar 28 10:03:17 AEST 2025","passed","Fri Mar 28 10:03:17 AEST 2025","GET /api/productsList - All Products API","","",""
"","205","Login with empty password field","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","","","",""
"","219","Should fail with invalid email","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","209","Login with empty email field","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","","","",""
"","197","Login with DELETE method to /api/verifyLogin","webkit","Fri Mar 28 10:03:16 AEST 2025","passed","Fri Mar 28 10:03:16 AEST 2025","","","",""
"","200","Should return 404 for incorrect endpoint","chromium","Fri Mar 28 10:03:12 AEST 2025","passed","Fri Mar 28 10:03:12 AEST 2025","GET /api/productsList - All Products API","","",""
"","202","Should fail with empty fields","firefox","Fri Mar 28 10:03:14 AEST 2025","passed","Fri Mar 28 10:03:14 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","277","Should fail with missing password","firefox","Fri Mar 28 10:03:15 AEST 2025","failed","Fri Mar 28 10:03:16 AEST 2025","Create Account - Positive and Negative Scenarios","","",""
"","207","Should respond under 2 seconds","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","211","Should respond under 2 seconds","chromium","Fri Mar 28 10:03:13 AEST 2025","passed","Fri Mar 28 10:03:13 AEST 2025","POST /api/searchProduct -Product Search API","","",""
"","211","Login with invalid credentials","chromium","Fri Mar 28 10:03:11 AEST 2025","passed","Fri Mar 28 10:03:11 AEST 2025","","","",""
"","198","Should return 404 for incorrect endpoint","firefox","Fri Mar 28 10:03:15 AEST 2025","passed","Fri Mar 28 10:03:15 AEST 2025","GET /api/productsList - All Products API","","",""
